iter	Passed	Remaining
560	362740	930451
561	363274	929517
562	363821	928617
563	364454	927938
564	365220	927595
565	365956	927175
566	366666	926690
567	367171	925685
568	367728	924815
569	368287	923950
570	368997	923464
571	369766	923123
572	370238	922043
573	370835	921275
574	371401	920428
575	371947	919537
576	372347	918285
577	373076	917845
578	373650	917025
579	374395	916622
580	375169	916292
581	375993	916080
582	376635	915425
583	377247	914696
584	377748	913699
585	378408	913088
586	379145	912661
587	379931	912353
588	380710	912024
589	381396	911473
590	382092	910944
591	382821	910494
592	383359	909589
593	383878	908641
594	384599	908172
595	385268	907578
596	385830	906734
597	386394	905894
598	387040	905249
599	387703	904642
600	388256	903778
601	388857	903027
602	389429	902210
603	389983	901352
604	390662	900783
605	391225	899947
606	391576	898626
607	392185	897897
608	392828	897247
609	393542	896761
610	394176	896089
611	394669	895099
612	395217	894236
613	395862	893592
614	396507	892948
615	397259	892544
616	397923	891940
617	398593	891353
618	399131	890469
619	399797	889871
620	400371	889069
621	400976	888336
622	401656	887771
623	402233	886975
624	402767	886088
625	403361	885333
626	404012	884704
627	404620	883979
628	405309	883432
629	405815	882487
630	406443	881808
631	407105	881202
632	407616	880272
633	408210	879519
634	408787	878732
635	409465	878162
636	410138	877579
637	410560	876462
638	411229	875873
639	411830	875139
640	412397	874333
641	413017	873641
642	413607	872884
643	414323	872395
644	415016	871857
645	415786	871479
646	416346	870660
647	416908	869846
648	417547	869193
649	418056	868270
650	418685	867598
651	419098	866479
652	419657	865664
653	420222	864860
654	420794	864073
655	421489	863538
656	422084	862799
657	422697	862097
658	423337	861450
659	423858	860560
660	424643	860207
661	425308	859612
662	425978	859024
663	426723	858587
664	427355	857924
665	427883	857052
666	428491	856341
667	429269	855968
668	429941	855383
669	430580	854734
670	431140	853927
671	431661	853045
672	432202	852203
673	432759	851392
674	433320	850592
675	434233	850481
676	434861	849810
677	435487	849136
678	436095	848428
679	436822	847948
680	437514	847403
681	438430	847289
682	439125	846746
683	439752	846073
684	440319	845283
685	441049	844809
686	441711	844202
687	442243	843348
688	442794	842530
689	443356	841734
690	444016	841125
691	444698	840557
692	445446	840113
693	446002	839307
694	446601	838582
695	447171	837804
696	447923	837365
697	448850	837254
698	449424	836482
699	449935	835594
700	450724	835223
701	451290	834436
702	451850	833641
703	452485	832985
704	453146	832375
705	453803	831758
706	454325	830896
707	454899	830126
708	455684	829744
709	456360	829162
710	457031	828570
711	457573	827744
712	458165	827010
713	458983	826685
714	459878	826495
715	460610	826011
716	461199	825270
717	461989	824889
718	462651	824278
719	463232	823524
720	463866	822864
721	464412	822049
722	465103	821490
723	465690	820747
724	466298	820041
725	466921	819363
726	467737	819022
727	468327	818286
728	468854	817440
729	469462	816735
730	470001	815912
731	470863	815648
732	471516	815023
733	472243	814524
734	472880	813868
735	473418	813044
736	473952	812214
737	474447	811318
738	475091	810677
739	475855	810240
740	476678	809903
741	477280	809189
742	477912	808528
743	478584	807933
744	479148	807156
745	479940	806763
746	480627	806193
747	481208	805444
748	481881	804851
749	482399	803999
750	483191	803604
751	483796	802896
752	484398	802185
753	484898	801305
754	485633	800813
755	486237	800105
756	486783	799301
757	487507	798792
758	488116	798092
759	488894	797670
760	489533	797019
761	490156	796343
762	490890	795847
763	491535	795206
764	492110	794453
765	492742	793791
766	493346	793084
767	493982	792429
768	494434	791481
769	495064	790817
770	495651	790084
771	496191	789278
772	496851	788663
773	497331	787763
774	497967	787109
775	498740	786673
776	499280	785868
777	500044	785417
778	500644	784706
779	501217	783954
780	502093	783677
781	502736	783035
782	503336	782324
783	504014	781736
784	504576	780969
785	505178	780263
786	505800	779588
787	506508	779045
788	507230	778524
789	507976	778040
790	508514	777237
791	509302	776814
792	509786	775929
793	510324	775127
794	510900	774384
795	511511	773692
796	512098	772966
797	512723	772297
798	513221	771437
799	514035	771053
800	514653	770373
801	515349	769811
802	516008	769193
803	516558	768412
804	517103	767625
805	517871	767169
806	518496	766501
807	519104	765808
808	519866	765341
809	520688	764961
810	521233	764175
811	521984	763692
812	522715	763177
813	523400	762595
814	524144	762099
815	524756	761410
816	525446	760835
817	526103	760213
818	526889	759776
819	527655	759308
820	528290	758652
821	528939	758017
822	529575	757364
823	530143	756611
824	530968	756228
825	531809	755865
826	532351	755075
827	533112	754599
828	533915	754180
829	534433	753358
830	534955	752542
831	535573	751863
832	536305	751342
833	537104	750916
834	537660	750149
835	538330	749541
836	538851	748726
837	539375	747916
838	540113	747403
839	540856	746897
840	541443	746174
841	542090	745535
842	542758	744924
843	543520	744442
844	544092	743700
845	544732	743051
846	545293	742295
847	545875	741567
848	546643	741092
849	547374	740565
850	547872	739724
851	548492	739048
852	549169	738449
853	549840	737841
854	550387	737068
855	551157	736593
856	551769	735907
857	552522	735408
858	553158	734754
859	553867	734197
860	554493	733528
861	555239	733019
862	555997	732525
863	556641	731880
864	557212	731139
865	557895	730546
866	558502	729853
867	559275	729377
868	559832	728620
869	560222	727644
870	560982	727152
871	561694	726596
872	562412	726047
873	562868	725159
874	563422	724400
875	564441	724237
876	565118	723634
877	565785	723019
878	566434	722380
879	567181	721867
880	567927	721351
881	568489	720602
882	569079	719889
883	569615	719106
884	570359	718588
885	570911	717827
886	571401	716989
887	571829	716075
888	572543	715518
889	573145	714821
890	574008	714450
891	574709	713877
892	575281	713143
893	576036	712635
894	576777	712110
895	577490	711550
896	578061	710816
897	578660	710115
898	579287	709450
899	580068	708972
900	580770	708397
901	581560	707931
902	582303	707405
903	582885	706684
904	583413	705898
905	584190	705413
906	584705	704612
907	585504	704153
908	586102	703451
909	586592	702621
910	587393	702164
911	587989	701461
912	588557	700725
913	589409	700327
914	590165	699814
915	590935	699317
916	591649	698753
917	592381	698210
918	592953	697478
919	593661	696906
920	594225	696166
921	594985	695655
922	595654	695037
923	596334	694432
924	596962	693767
925	597734	693268
926	598253	692477
927	598777	691690
928	599424	691047
929	600039	690368
930	600591	689616
931	601171	688896
932	601784	688214
933	602328	687454
934	603078	686928
935	604050	686655
936	604685	685998
937	605335	685358
938	605876	684594
939	606704	684156
940	607307	683462
941	608075	682955
942	608724	682313
943	609226	681507
944	609708	680680
945	610227	679893
946	610854	679229
947	611396	678469
948	612129	677921
949	612855	677366
950	613563	676790
951	614155	676087
952	614919	675572
953	615680	675054
954	616508	674608
955	617110	673915
956	617611	673112
957	618119	672318
958	618829	671742
959	619541	671170
960	620277	670622
961	620805	669850
962	621316	669060
963	622018	668476
964	622630	667795
965	623293	667169
966	623780	666354
967	624411	665695
968	625003	664993
969	625703	664407
970	626440	663859
971	627202	663337
972	627834	662678
973	628645	662208
974	629306	661578
975	629858	660835
976	630385	660065
977	631021	659411
978	631648	658746
979	632246	658052
980	632962	657481
981	633858	657095
982	634573	656521
983	635225	655883
984	635793	655157
985	636437	654510
986	637170	653954
987	637834	653328
988	638508	652711
989	639198	652111
990	639653	651272
991	640304	650631
992	640799	649833
993	641376	649119
994	642048	648501
995	642974	648138
996	643842	647717
997	644551	647134
998	645099	646390
999	645876	645876
1000	646745	645453
1001	647401	644817
1002	648161	644284
1003	648900	643729
1004	649619	643155
1005	650302	642545
1006	650951	641901
1007	651791	641445
1008	652423	640784
1009	653066	640134
1010	653651	639428
1011	654171	638657
1012	654815	638008
1013	655646	637542
1014	656438	637036
1015	657238	636538
1016	657948	635951
1017	658667	635374
1018	659193	634610
1019	659706	633835
1020	660355	633190
1021	660996	632538
1022	661629	631878
1023	662175	631136
1024	662722	630394
1025	663266	629650
1026	663792	628890
1027	664378	628186
1028	665012	627528
1029	665670	626893
1030	665981	625932
1031	666955	625593
1032	667559	624907
1033	668240	624294
1034	668842	623606
1035	669212	622703
1036	670072	622256
1037	670760	621648
1038	671501	621090
1039	672119	620417
1040	672578	619599
1041	673236	618963
1042	673891	618325
1043	674754	617878
1044	675529	617349
1045	676271	616790
1046	676862	616093
1047	677413	615360
1048	678252	614888
1049	678800	614152
1050	679533	613584
1051	680224	612977
1052	680776	612246
1053	681540	611705
1054	682182	611054
1055	682987	610549
1056	683547	609824
1057	684312	609284
1058	684873	608560
1059	685431	607835
1060	686161	607262
1061	686680	606503
1062	687426	605943
1063	688028	605258
1064	688676	604612
1065	689177	603838
1066	689841	603207
1067	690315	602410
1068	690932	601738
1069	691568	601082
1070	692643	600808
1071	693459	600307
1072	694067	599627
1073	694782	599039
1074	695309	598289
1075	696000	597680
1076	696692	597072
1077	697350	596435
1078	698127	595899
1079	698730	595214
1080	699326	594524
1081	700077	593966
1082	700759	593348
1083	701526	592803
1084	702440	592380
1085	703269	591885
1086	703864	591194
1087	704630	590646
1088	705317	590031
1089	705885	589316
1090	706609	588733
1091	707358	588170
1092	707958	587482
1093	708488	586737
1094	709163	586112
1095	709933	585565
1096	710586	584922
1097	711325	584349
1098	711952	583684
1099	712665	583090
1100	713281	582415
1101	714064	581878
1102	714502	581059
1103	715089	580362
1104	715600	579603
1105	716418	579093
1106	716999	578392
1107	717717	577801
1108	718343	577136
1109	719079	576559
1110	719549	575768
1111	720357	575249
1112	721042	574631
1113	721708	573998
1114	722527	573486
1115	723160	572826
1116	723836	572200
1117	724543	571598
1118	725372	571092
1119	726150	570546
1120	727082	570120
1121	727677	569430
1122	728173	568662
1123	728889	568067
1124	729565	567439
1125	730248	566818
1126	731018	566263
1127	731716	565652
1128	732336	564982
1129	732916	564280
1130	733525	563602
1131	734166	562947
1132	734711	562219
1133	735358	561569
1134	735967	560891
1135	736508	560161
1136	737107	559475
1137	737699	558784
1138	738356	558142
1139	739013	557501
1140	739847	556992
1141	740594	556418
1142	741177	555721
1143	742059	555247
1144	742705	554596
1145	743639	554160
1146	744368	553571
1147	744916	552847
1148	745555	552191
1149	746073	551445
1150	746684	550769
1151	747384	550157
1152	747899	549411
1153	748515	548738
1154	749050	548006
1155	749915	547516
1156	750648	546928
1157	751264	546256
1158	751993	545665
1159	752573	544966
1160	753565	544566
1161	754283	543966
1162	754839	543251
1163	755367	542514
1164	756108	541932
1165	756933	541408
1166	757493	540695
1167	758120	540031
1168	758599	539261
1169	759286	538639
1170	759850	537930
1171	760395	537207
1172	761127	536617
1173	761832	536007
1174	762380	535288
1175	763088	534681
1176	763921	534160
1177	764442	533422
1178	765116	532791
1179	765738	532123
1180	766591	531616
1181	767144	530900
1182	767744	530217
1183	768337	529529
1184	768935	528845
1185	769841	528373
1186	770609	527805
1187	771302	527186
1188	772231	526727
1189	772769	526002
1190	773397	525338
1191	774088	524717
1192	774792	524105
1193	775448	523459
1194	776195	522876
1195	776848	522228
1196	777509	521587
1197	778088	520890
1198	778841	520310
1199	779462	519641
1200	780027	518935
1201	780635	518259
1202	781242	517581
1203	781773	516853
1204	782270	516103
1205	782900	515441
1206	783532	514781
1207	784073	514061
1208	784610	513339
1209	785530	512867
1210	786429	512380
1211	787029	511698
1212	787699	511063
1213	788314	510391
1214	789218	509906
1215	790023	509357
1216	790732	508745
1217	791350	508075
1218	792051	507458
1219	792978	506986
1220	793695	506378
1221	794656	505927
1222	795363	505312
1223	795934	504612
1224	796435	503867
1225	796982	503152
1226	797596	502479
1227	798370	501907
1228	799080	501294
1229	799681	500613
1230	800259	499918
1231	800796	499197
1232	801380	498507
1233	801923	497790
1234	802779	497268
1235	803320	496551
1236	803916	495867
1237	804591	495233
1238	805252	494590
1239	805737	493839
1240	806722	493394
1241	807144	492604
1242	807721	491911
1243	808381	491267
1244	808935	490559
1245	809530	489876
1246	810216	489248
1247	811012	488687
1248	811612	488007
1249	812293	487376
1250	813137	486842
1251	813686	486132
1252	814401	485520
1253	815040	484864
1254	815713	484228
1255	816543	483685
1256	817365	483136
1257	818054	482509
1258	818724	481870
1259	819581	481341
1260	820287	480723
1261	820994	480105
1262	821679	479475
1263	822289	478801
1264	822802	478071
1265	823510	477454
1266	824386	476933
1267	825045	476287
1268	825687	475632
1269	826362	474995
1270	827093	474391
1271	827620	473669
1272	828443	473117
1273	829126	472484
1274	829794	471843
1275	830514	471232
1276	831174	470586
1277	831782	469911
1278	832655	469386
1279	833397	468786
1280	834013	468115
1281	834649	467455
1282	835289	466798
1283	835924	466138
1284	836681	465546
1285	837380	464921
1286	837903	464199
1287	838434	463482
1288	839182	462884
1289	839781	462205
1290	840590	461640
1291	841072	460897
1292	841624	460192
1293	842269	459538
1294	842947	458901
1295	843594	458248
1296	844287	457620
1297	844983	456994
1298	845979	456529
1299	846485	455799
1300	847157	455160
1301	847766	454486
1302	848411	453831
1303	849130	453216
1304	849784	452567
1305	850397	451895
1306	850989	451213
1307	851818	450656
1308	852302	449916
1309	852757	449162
1310	853403	448508
1311	854024	447842
1312	854639	447172
1313	855113	446429
1314	855642	445714
1315	856257	445045
1316	856894	444388
1317	857549	443739
1318	858230	443104
1319	858865	442445
1320	859677	441878
1321	860252	441188
1322	860980	440577
1323	861801	440013
1324	862428	439350
1325	862966	438641
1326	863650	438008
1327	864296	437354
1328	864840	436649
1329	865625	436066
1330	866359	435457
1331	866910	434756
1332	867610	434130
1333	868404	433551
1334	869140	432942
1335	869885	432338
1336	870586	431711
1337	871105	430995
1338	871815	430373
1339	872541	429759
1340	873209	429116
1341	873829	428450
1342	874610	427862
1343	875391	427274
1344	876227	426712
1345	877014	426127
1346	877594	425441
1347	878249	424791
1348	879178	424273
1349	879930	423670
1350	880695	423073
1351	881519	422503
1352	882154	421843
1353	882637	421110
1354	883173	420403
1355	883814	419746
1356	884401	419064
1357	885189	418476
1358	885780	417796
1359	886399	417128
1360	886993	416450
1361	887620	415787
1362	888268	415133
1363	888793	414422
1364	889474	413785
1365	890314	413220
1366	891012	412590
1367	891534	411878
1368	892073	411174
1369	892772	410545
1370	893504	409930
1371	894154	409277
1372	894927	408681
1373	895451	407971
1374	896006	407275
1375	896703	406644
1376	897366	405998
1377	897836	405264
1378	898607	404666
1379	899288	404028
1380	899812	403319
1381	900478	402674
1382	901167	402039
