Image File,License Plate Text,Confidence Score
cropped_transformed_frame_0364_1.jpg,OPOSJEO,0
cropped_transformed_frame_0365_0.jpg,P225,0
cropped_transformed_frame_0366_0.jpg,F,0
cropped_transformed_frame_0367_0.jpg,261,0
cropped_transformed_frame_0368_0.jpg,P2,0
cropped_transformed_frame_0369_0.jpg,SFRR,0
cropped_transformed_frame_0370_0.jpg,KMOGZZU,0
cropped_transformed_frame_0371_0.jpg,RHMOG2K,0
cropped_transformed_frame_0372_0.jpg,P2K,0
cropped_transformed_frame_0373_0.jpg,RNOS2K,0
cropped_transformed_frame_0374_0.jpg,NSZK,0
cropped_transformed_frame_0375_0.jpg,TS2K,0
cropped_transformed_frame_0376_0.jpg,KHOSZ2EK,0
cropped_transformed_frame_0377_0.jpg,P231,0
cropped_transformed_frame_0381_0.jpg,RHOS27K,0
cropped_transformed_frame_0382_0.jpg,KHOISZIKI,0
cropped_transformed_frame_0383_0.jpg,RHOS227K,0
cropped_transformed_frame_0385_0.jpg,APOSJEO,0
cropped_transformed_frame_0386_0.jpg,APOSJEO,0
cropped_transformed_frame_0390_0.jpg,APOSJEG,0
cropped_transformed_frame_0394_0.jpg,D221,0
cropped_transformed_frame_0400_0.jpg,F220,0
cropped_transformed_frame_0401_0.jpg,S,0
cropped_transformed_frame_0402_0.jpg,SS,0
cropped_transformed_frame_0403_0.jpg,TS2,0
cropped_transformed_frame_0404_0.jpg,OS22,0
cropped_transformed_frame_0405_0.jpg,PS201,0
cropped_transformed_frame_0406_0.jpg,T21,0
cropped_transformed_frame_0407_0.jpg,T21,0
cropped_transformed_frame_0408_0.jpg,HOS2,0
cropped_transformed_frame_0419_0.jpg,LAPOSJ6O,0
cropped_transformed_frame_0419_1.jpg,P221,0
